PartcipantID:1
RandID:1
InitialTimeStamp:22-23-41-526
instanceNumber;capacity;profit;weights;values;id;type;sol
27;338;475;48,23,45,86,69,57;59,91,44,17,15,90;86-0.44-0.68;low_prop;1
28;309;501;25,19,34,34,86,48;30,26,46,97,84,90;0-0.44-0.68;low_prop;1
29;282;552;10,41,31,21,83,10;44,52,89,66,36,91;34-0.44-0.68;low_prop;1
30;253;518;78,24,43,31,98,30;25,71,22,25,76,93;25-0.44-0.68;low_prop;1
31;284;460;20,74,89,26,42,24;78,28,25,56,36,51;10-0.44-0.68;low_prop;1
32;274;359;84,11,43,17,52,61;91,13,85,51,22,23;79-0.44-0.68;low_prop;1
33;142;112;68,73,72,94,17,1;87,12,18,69,14,2;45-0.44-0.56;high_prop;0
34;66;205;41,34,50,14,12,1;43,98,72,90,64,2;41-0.44-0.56;high_prop;1
35;143;172;52,98,68,71,36,1;89,74,49,32,64,2;6-0.44-0.56;high_prop;0
36;170;123;86,62,69,92,78,1;70,37,20,72,21,2;95-0.44-0.56;high_prop;0
37;133;113;90,38,74,46,56,1;22,40,33,54,40,2;37-0.44-0.6;high_prop;0
38;144;174;34,85,64,91,55,1;89,31,73,75,43,2;67-0.44-0.56;high_prop;0
39;89;200;48,35,21,42,57,1;83,61,80,97,37,2;33-0.44-0.56;high_prop;0
40;131;207;62,37,64,70,66,1;48,75,91,97,34,2;47-0.44-0.6;high_prop;0
41;121;197;21,83,10,77,84,1;66,36,91,53,83,2;89-0.44-0.6;low_prop;1
42;121;171;22,27,67,91,69,1;69,95,36,37,69,2;58-0.44-0.56;low_prop;1
43;117;87;73,61,18,20,94,1;20,50,13,24,50,2;42-0.44-0.56;low_prop;1
44;113;157;52,54,21,76,55,1;97,56,62,31,35,2;16-0.44-0.56;low_prop;1
45;122;113;92,50,26,33,77,1;62,42,71,16,11,2;5-0.44-0.56;low_prop;1
46;101;117;28,47,64,48,43,1;45,41,14,72,37,2;79-0.44-0.56;low_prop;1
47;167;128;95,88,59,93,46,1;12,85,52,22,58,2;25-0.44-0.56;low_prop;1
48;124;118;52,78,41,31,82,1;72,43,23,41,19,2;30-0.44-0.6;low_prop;1
49;232;181;87,39,91,64,95,97;29,29,53,74,38,50;78-0.44-0.64;high_prop;0
50;135;262;63,20,26,47,40,87;80,40,55,44,80,49;84-0.44-0.64;high_prop;0
51;205;291;94,50,88,73,46,65;67,97,55,81,81,34;97-0.44-0.64;high_prop;0
52;224;267;85,64,91,55,80,86;31,73,75,43,76,26;48-0.44-0.64;high_prop;0
53;219;288;82,69,82,51,98,41;94,11,88,52,90,49;15-0.44-0.64;high_prop;0
54;123;184;38,32,34,78,24,43;57,45,44,25,71,22;46-0.44-0.64;high_prop;1
55;123;293;44,35,79,18,36,31;94,77,60,69,37,69;92-0.44-0.64;high_prop;0
56;171;187;82,91,78,57,18,52;19,95,60,19,13,76;22-0.44-0.64;high_prop;0
57;182;332;49,23,83,80,13,92;83,90,87,45,86,81;50-0.44-0.64;low_prop;1
58;135;222;21,66,65,11,27,30;92,33,60,90,30,15;53-0.44-0.64;low_prop;1
59;134;262;58,37,12,31,27,50;41,86,78,87,17,26;62-0.44-0.64;low_prop;1
60;181;291;46,30,10,84,65,85;86,61,72,81,40,82;2-0.44-0.64;low_prop;1
61;147;168;35,46,37,47,86,61;78,46,31,47,19,28;5-0.44-0.64;low_prop;1
62;179;216;56,81,51,53,49,87;40,10,44,90,86,14;27-0.44-0.64;low_prop;1
63;130;221;60,15,15,22,27,67;81,14,14,69,95,36;41-0.44-0.64;low_prop;1
64;223;165;87,68,73,72,94,17;25,87,12,18,69,14;32-0.44-0.64;low_prop;1
65;269;268;65,85,92,82,13,58;40,82,33,43,80,13;2-0.44-0.64;high_prop;0
66;222;377;84,66,59,36,70,24;79,72,43,63,69,90;54-0.44-0.64;high_prop;0
67;266;257;14,55,95,97,96,35;41,66,45,68,37,24;79-0.44-0.64;high_prop;0
68;205;380;16,83,84,63,20,26;76,85,85,80,40,55;65-0.44-0.64;high_prop;0
69;220;273;45,67,47,98,92,37;59,63,75,61,43,66;73-0.44-0.64;high_prop;0
70;189;364;25,65,51,94,33,42;66,68,56,60,86,50;95-0.44-0.64;high_prop;0
71;225;373;64,62,37,64,70,66;83,48,75,91,97,34;26-0.44-0.64;high_prop;0
72;206;273;62,74,70,73,31,38;44,60,59,39,53,48;85-0.44-0.64;high_prop;0
73;188;292;11,83,42,28,36,74;56,76,73,16,41,64;13-0.44-0.64;low_prop;1
74;207;264;56,81,51,53,49,87;40,10,44,90,86,14;21-0.44-0.64;low_prop;1
75;210;266;42,46,22,66,98,59;98,90,13,19,29,49;80-0.44-0.64;low_prop;1
76;185;290;50,14,12,73,61,18;72,90,64,20,50,13;23-0.44-0.64;low_prop;1
77;205;348;12,43,51,90,65,12;89,86,34,93,61,83;88-0.44-0.64;low_prop;1
78;142;315;28,14,56,19,65,23;37,96,36,93,16,90;5-0.44-0.64;low_prop;1
79;190;325;25,19,34,34,86,48;30,26,46,97,84,90;0-0.44-0.64;low_prop;1
80;210;222;31,82,91,78,57,18;41,19,95,60,19,13;17-0.44-0.64;low_prop;1
